Group: demographics-group-1 | Topic: demographics_events
Sink: ../sink/demographics_sink.csv
Waiting for messages... (Ctrl+C to stop)
------------------------------------------------------------
[MSG] key=7 | partition=0 | offset=0 | age=40 | gender=Male | rows_written=1
[MSG] key=100 | partition=0 | offset=42 | age=26 | gender=Male | rows_written=43
[MSG] key=102 | partition=0 | offset=43 | age=29 | gender=Male | rows_written=44
[MSG] key=103 | partition=0 | offset=44 | age=51 | gender=Female | rows_written=45
[MSG] key=104 | partition=0 | offset=45 | age=50 | gender=Female | rows_written=46
[MSG] key=106 | partition=0 | offset=46 | age=41 | gender=Male | rows_written=47
[MSG] key=114 | partition=0 | offset=47 | age=52 | gender=Female | rows_written=48
[MSG] key=118 | partition=0 | offset=48 | age=18 | gender=Male | rows_written=49
[MSG] key=129 | partition=0 | offset=49 | age=30 | gender=Female | rows_written=50
[MSG] key=131 | partition=0 | offset=50 | age=56 | gender=Female | rows_written=51
[MSG] key=132 | partition=0 | offset=51 | age=49 | gender=Male | rows_written=52
[MSG] key=144 | partition=0 | offset=52 | age=39 | gender=Male | rows_written=53
[MSG] key=146 | partition=0 | offset=53 | age=19 | gender=Female | rows_written=54
[MSG] key=153 | partition=0 | offset=54 | age=28 | gender=Female | rows_written=55
[MSG] key=155 | partition=0 | offset=55 | age=42 | gender=Male | rows_written=56
[MSG] key=165 | partition=0 | offset=56 | age=25 | gender=Female | rows_written=57
[MSG] key=166 | partition=0 | offset=57 | age=44 | gender=Male | rows_written=58
[MSG] key=170 | partition=0 | offset=58 | age=59 | gender=Female | rows_written=59
[MSG] key=172 | partition=0 | offset=59 | age=32 | gender=Female | rows_written=60
[MSG] key=174 | partition=0 | offset=60 | age=49 | gender=Female | rows_written=61
[MSG] key=177 | partition=0 | offset=61 | age=29 | gender=Female | rows_written=62
[MSG] key=178 | partition=0 | offset=62 | age=56 | gender=Female | rows_written=63
[MSG] key=181 | partition=0 | offset=63 | age=54 | gender=Male | rows_written=64
[MSG] key=182 | partition=0 | offset=64 | age=34 | gender=Other | rows_written=65
[MSG] key=186 | partition=0 | offset=65 | age=40 | gender=Female | rows_written=66
[MSG] key=188 | partition=0 | offset=66 | age=49 | gender=Female | rows_written=67
[MSG] key=198 | partition=0 | offset=67 | age=28 | gender=Male | rows_written=68
[MSG] key=201 | partition=0 | offset=68 | age=41 | gender=Male | rows_written=69
[MSG] key=204 | partition=0 | offset=69 | age=23 | gender=Male | rows_written=70
[MSG] key=205 | partition=0 | offset=70 | age=39 | gender=Male | rows_written=71
[MSG] key=214 | partition=0 | offset=71 | age=37 | gender=Male | rows_written=72
[MSG] key=216 | partition=0 | offset=72 | age=36 | gender=Male | rows_written=73
[MSG] key=217 | partition=0 | offset=73 | age=43 | gender=Male | rows_written=74
[MSG] key=222 | partition=0 | offset=74 | age=24 | gender=Male | rows_written=75
[MSG] key=227 | partition=0 | offset=75 | age=35 | gender=Male | rows_written=76
[MSG] key=230 | partition=0 | offset=76 | age=28 | gender=Female | rows_written=77
[MSG] key=232 | partition=0 | offset=77 | age=42 | gender=Female | rows_written=78
[MSG] key=233 | partition=0 | offset=78 | age=40 | gender=Male | rows_written=79
[MSG] key=236 | partition=0 | offset=79 | age=59 | gender=Male | rows_written=80
[MSG] key=237 | partition=0 | offset=80 | age=52 | gender=Female | rows_written=81
[MSG] key=242 | partition=0 | offset=81 | age=18 | gender=Male | rows_written=82
[MSG] key=245 | partition=0 | offset=82 | age=54 | gender=Male | rows_written=83
[MSG] key=247 | partition=0 | offset=83 | age=26 | gender=Male | rows_written=84
[MSG] key=251 | partition=0 | offset=84 | age=33 | gender=Male | rows_written=85
[MSG] key=252 | partition=0 | offset=85 | age=20 | gender=Male | rows_written=86
[MSG] key=255 | partition=0 | offset=86 | age=50 | gender=Male | rows_written=87
[MSG] key=257 | partition=0 | offset=87 | age=28 | gender=Male | rows_written=88
[MSG] key=259 | partition=0 | offset=88 | age=53 | gender=Male | rows_written=89
[MSG] key=264 | partition=0 | offset=89 | age=42 | gender=Female | rows_written=90
[MSG] key=266 | partition=0 | offset=90 | age=42 | gender=Female | rows_written=91
[MSG] key=267 | partition=0 | offset=91 | age=46 | gender=Male | rows_written=92
[MSG] key=273 | partition=0 | offset=92 | age=58 | gender=Male | rows_written=93
[MSG] key=275 | partition=0 | offset=93 | age=50 | gender=Female | rows_written=94
[MSG] key=282 | partition=0 | offset=94 | age=24 | gender=Female | rows_written=95
[MSG] key=284 | partition=0 | offset=95 | age=34 | gender=Female | rows_written=96
[MSG] key=286 | partition=0 | offset=96 | age=29 | gender=Female | rows_written=97
[MSG] key=289 | partition=0 | offset=97 | age=47 | gender=Female | rows_written=98
[MSG] key=291 | partition=0 | offset=98 | age=55 | gender=Male | rows_written=99
[MSG] key=292 | partition=0 | offset=99 | age=25 | gender=Female | rows_written=100
[MSG] key=293 | partition=0 | offset=100 | age=44 | gender=Female | rows_written=101
[MSG] key=294 | partition=0 | offset=101 | age=44 | gender=Female | rows_written=102
[MSG] key=306 | partition=0 | offset=102 | age=45 | gender=Male | rows_written=103
[MSG] key=309 | partition=0 | offset=103 | age=23 | gender=Female | rows_written=104
[MSG] key=314 | partition=0 | offset=104 | age=46 | gender=Female | rows_written=105
[MSG] key=315 | partition=0 | offset=105 | age=48 | gender=Female | rows_written=106
[MSG] key=316 | partition=0 | offset=106 | age=52 | gender=Male | rows_written=107
[MSG] key=317 | partition=0 | offset=107 | age=50 | gender=Male | rows_written=108
[MSG] key=318 | partition=0 | offset=108 | age=38 | gender=Male | rows_written=109
[MSG] key=323 | partition=0 | offset=109 | age=35 | gender=Female | rows_written=110
[MSG] key=330 | partition=0 | offset=110 | age=49 | gender=Male | rows_written=111
[MSG] key=332 | partition=0 | offset=111 | age=40 | gender=Male | rows_written=112
[MSG] key=338 | partition=0 | offset=112 | age=34 | gender=Female | rows_written=113
[MSG] key=340 | partition=0 | offset=113 | age=50 | gender=Female | rows_written=114
[MSG] key=342 | partition=0 | offset=114 | age=56 | gender=Female | rows_written=115
[MSG] key=346 | partition=0 | offset=115 | age=52 | gender=Male | rows_written=116
[MSG] key=351 | partition=0 | offset=116 | age=53 | gender=Female | rows_written=117
[MSG] key=358 | partition=0 | offset=117 | age=40 | gender=Female | rows_written=118
[MSG] key=360 | partition=0 | offset=118 | age=45 | gender=Male | rows_written=119
[MSG] key=361 | partition=0 | offset=119 | age=51 | gender=Female | rows_written=120
[MSG] key=364 | partition=0 | offset=120 | age=40 | gender=Male | rows_written=121
[MSG] key=367 | partition=0 | offset=121 | age=39 | gender=Male | rows_written=122
[MSG] key=368 | partition=0 | offset=122 | age=39 | gender=Female | rows_written=123
[MSG] key=369 | partition=0 | offset=123 | age=59 | gender=Male | rows_written=124
[MSG] key=372 | partition=0 | offset=124 | age=54 | gender=Male | rows_written=125
[MSG] key=375 | partition=0 | offset=125 | age=22 | gender=Female | rows_written=126
[MSG] key=383 | partition=0 | offset=126 | age=33 | gender=Other | rows_written=127
[MSG] key=388 | partition=0 | offset=127 | age=34 | gender=Male | rows_written=128
[MSG] key=390 | partition=0 | offset=128 | age=45 | gender=Female | rows_written=129
[MSG] key=391 | partition=0 | offset=129 | age=43 | gender=Male | rows_written=130
[MSG] key=394 | partition=0 | offset=130 | age=40 | gender=Female | rows_written=131
[MSG] key=395 | partition=0 | offset=131 | age=26 | gender=Other | rows_written=132
[MSG] key=398 | partition=0 | offset=132 | age=18 | gender=Female | rows_written=133
[MSG] key=400 | partition=0 | offset=133 | age=49 | gender=Male | rows_written=134
[MSG] key=401 | partition=0 | offset=134 | age=42 | gender=Female | rows_written=135
[MSG] key=402 | partition=0 | offset=135 | age=57 | gender=Male | rows_written=136
[MSG] key=405 | partition=0 | offset=136 | age=56 | gender=Male | rows_written=137
[MSG] key=406 | partition=0 | offset=137 | age=22 | gender=Male | rows_written=138
[MSG] key=412 | partition=0 | offset=138 | age=33 | gender=Female | rows_written=139
[MSG] key=413 | partition=0 | offset=139 | age=54 | gender=Female | rows_written=140
[MSG] key=414 | partition=0 | offset=140 | age=39 | gender=Male | rows_written=141
[MSG] key=419 | partition=0 | offset=141 | age=47 | gender=Male | rows_written=142
[MSG] key=421 | partition=0 | offset=142 | age=29 | gender=Male | rows_written=143
[MSG] key=424 | partition=0 | offset=143 | age=43 | gender=Female | rows_written=144
[MSG] key=430 | partition=0 | offset=144 | age=54 | gender=Male | rows_written=145
[MSG] key=433 | partition=0 | offset=145 | age=22 | gender=Other | rows_written=146
[MSG] key=435 | partition=0 | offset=146 | age=51 | gender=Male | rows_written=147
[MSG] key=437 | partition=0 | offset=147 | age=27 | gender=Female | rows_written=148
[MSG] key=438 | partition=0 | offset=148 | age=36 | gender=Male | rows_written=149
[MSG] key=441 | partition=0 | offset=149 | age=22 | gender=Male | rows_written=150
[MSG] key=442 | partition=0 | offset=150 | age=21 | gender=Male | rows_written=151
[MSG] key=443 | partition=0 | offset=151 | age=33 | gender=Male | rows_written=152
[MSG] key=449 | partition=0 | offset=152 | age=44 | gender=Female | rows_written=153
[MSG] key=453 | partition=0 | offset=153 | age=52 | gender=Male | rows_written=154
[MSG] key=454 | partition=0 | offset=154 | age=50 | gender=Male | rows_written=155
[MSG] key=464 | partition=0 | offset=155 | age=30 | gender=Female | rows_written=156
[MSG] key=466 | partition=0 | offset=156 | age=48 | gender=Male | rows_written=157
[MSG] key=470 | partition=0 | offset=157 | age=34 | gender=Female | rows_written=158
[MSG] key=471 | partition=0 | offset=158 | age=43 | gender=Male | rows_written=159
[MSG] key=473 | partition=0 | offset=159 | age=46 | gender=Other | rows_written=160
[MSG] key=476 | partition=0 | offset=160 | age=43 | gender=Other | rows_written=161
[MSG] key=478 | partition=0 | offset=161 | age=58 | gender=Male | rows_written=162
[MSG] key=489 | partition=0 | offset=162 | age=26 | gender=Female | rows_written=163
[MSG] key=490 | partition=0 | offset=163 | age=41 | gender=Male | rows_written=164
[MSG] key=497 | partition=0 | offset=164 | age=41 | gender=Female | rows_written=165
[MSG] key=499 | partition=0 | offset=165 | age=49 | gender=Male | rows_written=166
[MSG] key=501 | partition=0 | offset=166 | age=29 | gender=Male | rows_written=167
[MSG] key=506 | partition=0 | offset=167 | age=58 | gender=Female | rows_written=168
[MSG] key=509 | partition=0 | offset=168 | age=37 | gender=Female | rows_written=169
[MSG] key=514 | partition=0 | offset=169 | age=53 | gender=Female | rows_written=170
[MSG] key=517 | partition=0 | offset=170 | age=36 | gender=Female | rows_written=171
[MSG] key=518 | partition=0 | offset=171 | age=29 | gender=Female | rows_written=172
[MSG] key=524 | partition=0 | offset=172 | age=36 | gender=Female | rows_written=173
[MSG] key=529 | partition=0 | offset=173 | age=42 | gender=Female | rows_written=174
[MSG] key=534 | partition=0 | offset=174 | age=56 | gender=Male | rows_written=175
[MSG] key=537 | partition=0 | offset=175 | age=31 | gender=Female | rows_written=176
[MSG] key=542 | partition=0 | offset=176 | age=46 | gender=Female | rows_written=177
[MSG] key=545 | partition=0 | offset=177 | age=29 | gender=Male | rows_written=178
[MSG] key=546 | partition=0 | offset=178 | age=26 | gender=Female | rows_written=179
[MSG] key=549 | partition=0 | offset=179 | age=55 | gender=Male | rows_written=180
[MSG] key=550 | partition=0 | offset=180 | age=24 | gender=Female | rows_written=181
[MSG] key=553 | partition=0 | offset=181 | age=59 | gender=Male | rows_written=182
[MSG] key=557 | partition=0 | offset=182 | age=22 | gender=Female | rows_written=183
[MSG] key=561 | partition=0 | offset=183 | age=36 | gender=Female | rows_written=184
[MSG] key=566 | partition=0 | offset=184 | age=24 | gender=Male | rows_written=185
[MSG] key=569 | partition=0 | offset=185 | age=53 | gender=Other | rows_written=186
[MSG] key=576 | partition=0 | offset=186 | age=43 | gender=Female | rows_written=187
[MSG] key=577 | partition=0 | offset=187 | age=36 | gender=Female | rows_written=188
[MSG] key=580 | partition=0 | offset=188 | age=30 | gender=Male | rows_written=189
[MSG] key=581 | partition=0 | offset=189 | age=45 | gender=Other | rows_written=190
[MSG] key=585 | partition=0 | offset=190 | age=58 | gender=Female | rows_written=191
[MSG] key=588 | partition=0 | offset=191 | age=20 | gender=Male | rows_written=192
[MSG] key=590 | partition=0 | offset=192 | age=45 | gender=Female | rows_written=193
[MSG] key=593 | partition=0 | offset=193 | age=55 | gender=Male | rows_written=194
[MSG] key=596 | partition=0 | offset=194 | age=38 | gender=Male | rows_written=195
[MSG] key=602 | partition=0 | offset=195 | age=52 | gender=Female | rows_written=196
[MSG] key=604 | partition=0 | offset=196 | age=37 | gender=Male | rows_written=197
[MSG] key=605 | partition=0 | offset=197 | age=35 | gender=Male | rows_written=198
[MSG] key=606 | partition=0 | offset=198 | age=58 | gender=Female | rows_written=199
[MSG] key=609 | partition=0 | offset=199 | age=48 | gender=Male | rows_written=200
[MSG] key=611 | partition=0 | offset=200 | age=20 | gender=Male | rows_written=201
[MSG] key=615 | partition=0 | offset=201 | age=29 | gender=Female | rows_written=202
[MSG] key=632 | partition=0 | offset=202 | age=58 | gender=Male | rows_written=203
[MSG] key=636 | partition=0 | offset=203 | age=26 | gender=Male | rows_written=204
[MSG] key=639 | partition=0 | offset=204 | age=30 | gender=Male | rows_written=205
[MSG] key=645 | partition=0 | offset=205 | age=35 | gender=Male | rows_written=206
[MSG] key=650 | partition=0 | offset=206 | age=47 | gender=Male | rows_written=207
[MSG] key=655 | partition=0 | offset=207 | age=49 | gender=Male | rows_written=208
[MSG] key=656 | partition=0 | offset=208 | age=28 | gender=Male | rows_written=209
[MSG] key=658 | partition=0 | offset=209 | age=43 | gender=Male | rows_written=210
[MSG] key=659 | partition=0 | offset=210 | age=42 | gender=Male | rows_written=211
[MSG] key=661 | partition=0 | offset=211 | age=44 | gender=Male | rows_written=212
[MSG] key=662 | partition=0 | offset=212 | age=30 | gender=Male | rows_written=213
[MSG] key=664 | partition=0 | offset=213 | age=51 | gender=Female | rows_written=214
[MSG] key=674 | partition=0 | offset=214 | age=22 | gender=Male | rows_written=215
[MSG] key=678 | partition=0 | offset=215 | age=54 | gender=Female | rows_written=216
[MSG] key=679 | partition=0 | offset=216 | age=54 | gender=Female | rows_written=217
[MSG] key=681 | partition=0 | offset=217 | age=27 | gender=Female | rows_written=218
[MSG] key=683 | partition=0 | offset=218 | age=34 | gender=Female | rows_written=219
[MSG] key=684 | partition=0 | offset=219 | age=38 | gender=Female | rows_written=220
[MSG] key=685 | partition=0 | offset=220 | age=31 | gender=Female | rows_written=221
[MSG] key=686 | partition=0 | offset=221 | age=26 | gender=Male | rows_written=222
[MSG] key=688 | partition=0 | offset=222 | age=30 | gender=Female | rows_written=223
[MSG] key=691 | partition=0 | offset=223 | age=57 | gender=Male | rows_written=224
[MSG] key=692 | partition=0 | offset=224 | age=49 | gender=Male | rows_written=225
[MSG] key=693 | partition=0 | offset=225 | age=51 | gender=Male | rows_written=226
[MSG] key=701 | partition=0 | offset=226 | age=29 | gender=Female | rows_written=227
[MSG] key=704 | partition=0 | offset=227 | age=47 | gender=Male | rows_written=228
[MSG] key=712 | partition=0 | offset=228 | age=19 | gender=Male | rows_written=229
[MSG] key=714 | partition=0 | offset=229 | age=56 | gender=Female | rows_written=230
[MSG] key=715 | partition=0 | offset=230 | age=55 | gender=Female | rows_written=231
[MSG] key=716 | partition=0 | offset=231 | age=51 | gender=Female | rows_written=232
[MSG] key=717 | partition=0 | offset=232 | age=55 | gender=Male | rows_written=233
[MSG] key=719 | partition=0 | offset=233 | age=35 | gender=Male | rows_written=234
[MSG] key=722 | partition=0 | offset=234 | age=44 | gender=Female | rows_written=235
[MSG] key=728 | partition=0 | offset=235 | age=47 | gender=Female | rows_written=236
[MSG] key=731 | partition=0 | offset=236 | age=22 | gender=Female | rows_written=237
[MSG] key=733 | partition=0 | offset=237 | age=21 | gender=Male | rows_written=238
[MSG] key=736 | partition=0 | offset=238 | age=27 | gender=Female | rows_written=239
[MSG] key=737 | partition=0 | offset=239 | age=34 | gender=Male | rows_written=240
[MSG] key=739 | partition=0 | offset=240 | age=41 | gender=Female | rows_written=241
[MSG] key=742 | partition=0 | offset=241 | age=23 | gender=Other | rows_written=242
[MSG] key=745 | partition=0 | offset=242 | age=28 | gender=Female | rows_written=243
[MSG] key=756 | partition=0 | offset=243 | age=20 | gender=Female | rows_written=244
[MSG] key=757 | partition=0 | offset=244 | age=49 | gender=Male | rows_written=245
[MSG] key=758 | partition=0 | offset=245 | age=20 | gender=Female | rows_written=246
[MSG] key=761 | partition=0 | offset=246 | age=49 | gender=Male | rows_written=247
[MSG] key=765 | partition=0 | offset=247 | age=35 | gender=Female | rows_written=248
[MSG] key=768 | partition=0 | offset=248 | age=39 | gender=Male | rows_written=249
[MSG] key=770 | partition=0 | offset=249 | age=23 | gender=Female | rows_written=250
[MSG] key=771 | partition=0 | offset=250 | age=18 | gender=Female | rows_written=251
[MSG] key=774 | partition=0 | offset=251 | age=29 | gender=Male | rows_written=252
[MSG] key=775 | partition=0 | offset=252 | age=43 | gender=Female | rows_written=253
[MSG] key=776 | partition=0 | offset=253 | age=51 | gender=Female | rows_written=254
[MSG] key=777 | partition=0 | offset=254 | age=31 | gender=Male | rows_written=255
[MSG] key=782 | partition=0 | offset=255 | age=39 | gender=Male | rows_written=256
[MSG] key=785 | partition=0 | offset=256 | age=43 | gender=Male | rows_written=257
[MSG] key=786 | partition=0 | offset=257 | age=53 | gender=Female | rows_written=258
[MSG] key=794 | partition=0 | offset=258 | age=45 | gender=Male | rows_written=259
[MSG] key=0 | partition=2 | offset=0 | age=56 | gender=Male | rows_written=260
[MSG] key=1 | partition=2 | offset=1 | age=46 | gender=Male | rows_written=261
[MSG] key=8 | partition=2 | offset=2 | age=28 | gender=Female | rows_written=262
[MSG] key=13 | partition=2 | offset=3 | age=41 | gender=Male | rows_written=263
[MSG] key=17 | partition=2 | offset=4 | age=41 | gender=Female | rows_written=264
[MSG] key=22 | partition=2 | offset=5 | age=50 | gender=Male | rows_written=265
[MSG] key=24 | partition=2 | offset=6 | age=39 | gender=Female | rows_written=266
[MSG] key=29 | partition=2 | offset=7 | age=33 | gender=Male | rows_written=267
[MSG] key=33 | partition=2 | offset=8 | age=24 | gender=Other | rows_written=268
[MSG] key=34 | partition=2 | offset=9 | age=38 | gender=Female | rows_written=269
[MSG] key=40 | partition=2 | offset=10 | age=31 | gender=Male | rows_written=270
[MSG] key=41 | partition=2 | offset=11 | age=26 | gender=Male | rows_written=271
[MSG] key=42 | partition=2 | offset=12 | age=43 | gender=Male | rows_written=272
[MSG] key=44 | partition=2 | offset=13 | age=37 | gender=Male | rows_written=273
[MSG] key=55 | partition=2 | offset=14 | age=23 | gender=Female | rows_written=274
[MSG] key=59 | partition=2 | offset=15 | age=35 | gender=Male | rows_written=275
[MSG] key=74 | partition=2 | offset=16 | age=41 | gender=Male | rows_written=276
[MSG] key=76 | partition=2 | offset=17 | age=42 | gender=Male | rows_written=277
[MSG] key=79 | partition=2 | offset=18 | age=32 | gender=Female | rows_written=278
[MSG] key=81 | partition=2 | offset=19 | age=42 | gender=Female | rows_written=279
[MSG] key=83 | partition=2 | offset=20 | age=26 | gender=Female | rows_written=280
[MSG] key=101 | partition=2 | offset=21 | age=25 | gender=Male | rows_written=281
[MSG] key=105 | partition=2 | offset=22 | age=40 | gender=Female | rows_written=282
[MSG] key=110 | partition=2 | offset=23 | age=39 | gender=Male | rows_written=283
[MSG] key=111 | partition=2 | offset=24 | age=44 | gender=Male | rows_written=284
[MSG] key=113 | partition=2 | offset=25 | age=18 | gender=Male | rows_written=285
[MSG] key=120 | partition=2 | offset=26 | age=43 | gender=Female | rows_written=286
[MSG] key=121 | partition=2 | offset=27 | age=31 | gender=Female | rows_written=287
[MSG] key=122 | partition=2 | offset=28 | age=56 | gender=Male | rows_written=288
[MSG] key=124 | partition=2 | offset=29 | age=26 | gender=Female | rows_written=289
[MSG] key=125 | partition=2 | offset=30 | age=32 | gender=Male | rows_written=290
[MSG] key=128 | partition=2 | offset=31 | age=59 | gender=Female | rows_written=291
[MSG] key=134 | partition=2 | offset=32 | age=47 | gender=Male | rows_written=292
[MSG] key=135 | partition=2 | offset=33 | age=54 | gender=Female | rows_written=293
[MSG] key=136 | partition=2 | offset=34 | age=40 | gender=Male | rows_written=294
[MSG] key=137 | partition=2 | offset=35 | age=56 | gender=Female | rows_written=295
[MSG] key=139 | partition=2 | offset=36 | age=46 | gender=Female | rows_written=296
[MSG] key=140 | partition=2 | offset=37 | age=53 | gender=Male | rows_written=297
[MSG] key=145 | partition=2 | offset=38 | age=45 | gender=Male | rows_written=298
[MSG] key=149 | partition=2 | offset=39 | age=45 | gender=Female | rows_written=299
[MSG] key=152 | partition=2 | offset=40 | age=47 | gender=Female | rows_written=300
[MSG] key=154 | partition=2 | offset=41 | age=45 | gender=Male | rows_written=301
[MSG] key=156 | partition=2 | offset=42 | age=56 | gender=Male | rows_written=302
[MSG] key=157 | partition=2 | offset=43 | age=50 | gender=Female | rows_written=303
[MSG] key=158 | partition=2 | offset=44 | age=18 | gender=Female | rows_written=304
[MSG] key=162 | partition=2 | offset=45 | age=20 | gender=Male | rows_written=305
[MSG] key=168 | partition=2 | offset=46 | age=54 | gender=Female | rows_written=306
[MSG] key=171 | partition=2 | offset=47 | age=41 | gender=Female | rows_written=307
[MSG] key=175 | partition=2 | offset=48 | age=41 | gender=Female | rows_written=308
[MSG] key=176 | partition=2 | offset=49 | age=58 | gender=Male | rows_written=309
[MSG] key=179 | partition=2 | offset=50 | age=19 | gender=Female | rows_written=310
[MSG] key=185 | partition=2 | offset=51 | age=45 | gender=Female | rows_written=311
[MSG] key=189 | partition=2 | offset=52 | age=50 | gender=Male | rows_written=312
[MSG] key=190 | partition=2 | offset=53 | age=18 | gender=Male | rows_written=313
[MSG] key=193 | partition=2 | offset=54 | age=43 | gender=Male | rows_written=314
[MSG] key=195 | partition=2 | offset=55 | age=23 | gender=Male | rows_written=315
[MSG] key=197 | partition=2 | offset=56 | age=21 | gender=Female | rows_written=316
[MSG] key=202 | partition=2 | offset=57 | age=22 | gender=Male | rows_written=317
[MSG] key=203 | partition=2 | offset=58 | age=51 | gender=Male | rows_written=318
[MSG] key=206 | partition=2 | offset=59 | age=28 | gender=Female | rows_written=319
[MSG] key=208 | partition=2 | offset=60 | age=50 | gender=Female | rows_written=320
[MSG] key=209 | partition=2 | offset=61 | age=26 | gender=Male | rows_written=321
[MSG] key=210 | partition=2 | offset=62 | age=23 | gender=Female | rows_written=322
[MSG] key=212 | partition=2 | offset=63 | age=46 | gender=Male | rows_written=323
[MSG] key=213 | partition=2 | offset=64 | age=20 | gender=Female | rows_written=324
[MSG] key=219 | partition=2 | offset=65 | age=36 | gender=Other | rows_written=325
[MSG] key=220 | partition=2 | offset=66 | age=37 | gender=Female | rows_written=326
[MSG] key=221 | partition=2 | offset=67 | age=49 | gender=Female | rows_written=327
[MSG] key=223 | partition=2 | offset=68 | age=58 | gender=Female | rows_written=328
[MSG] key=225 | partition=2 | offset=69 | age=57 | gender=Female | rows_written=329
[MSG] key=226 | partition=2 | offset=70 | age=56 | gender=Male | rows_written=330
[MSG] key=239 | partition=2 | offset=71 | age=33 | gender=Male | rows_written=331
[MSG] key=241 | partition=2 | offset=72 | age=19 | gender=Female | rows_written=332
[MSG] key=244 | partition=2 | offset=73 | age=22 | gender=Female | rows_written=333
[MSG] key=246 | partition=2 | offset=74 | age=49 | gender=Male | rows_written=334
[MSG] key=250 | partition=2 | offset=75 | age=36 | gender=Male | rows_written=335
[MSG] key=258 | partition=2 | offset=76 | age=25 | gender=Female | rows_written=336
[MSG] key=261 | partition=2 | offset=77 | age=57 | gender=Male | rows_written=337
[MSG] key=263 | partition=2 | offset=78 | age=52 | gender=Female | rows_written=338
[MSG] key=265 | partition=2 | offset=79 | age=52 | gender=Male | rows_written=339
[MSG] key=268 | partition=2 | offset=80 | age=35 | gender=Male | rows_written=340
[MSG] key=270 | partition=2 | offset=81 | age=19 | gender=Male | rows_written=341
[MSG] key=274 | partition=2 | offset=82 | age=53 | gender=Male | rows_written=342
[MSG] key=276 | partition=2 | offset=83 | age=21 | gender=Male | rows_written=343
[MSG] key=280 | partition=2 | offset=84 | age=37 | gender=Male | rows_written=344
[MSG] key=285 | partition=2 | offset=85 | age=50 | gender=Male | rows_written=345
