Group: demographics-group-2 | Topic: demographics_events
Waiting for messages... (Ctrl+C to stop)
------------------------------------------------------------
[GROUP-2] key=2 | partition=1 | offset=0 | age=32 | gender=Female
[GROUP-2] key=224 | partition=1 | offset=80 | age=50 | gender=Male
[GROUP-2] key=228 | partition=1 | offset=81 | age=57 | gender=Male
[GROUP-2] key=229 | partition=1 | offset=82 | age=18 | gender=Male
[GROUP-2] key=231 | partition=1 | offset=83 | age=45 | gender=Male
[GROUP-2] key=234 | partition=1 | offset=84 | age=48 | gender=Female
[GROUP-2] key=235 | partition=1 | offset=85 | age=47 | gender=Male
[GROUP-2] key=238 | partition=1 | offset=86 | age=24 | gender=Male
[GROUP-2] key=240 | partition=1 | offset=87 | age=43 | gender=Female
[GROUP-2] key=243 | partition=1 | offset=88 | age=29 | gender=Male
[GROUP-2] key=248 | partition=1 | offset=89 | age=58 | gender=Female
[GROUP-2] key=249 | partition=1 | offset=90 | age=52 | gender=Female
[GROUP-2] key=253 | partition=1 | offset=91 | age=37 | gender=Female
[GROUP-2] key=254 | partition=1 | offset=92 | age=41 | gender=Male
[GROUP-2] key=256 | partition=1 | offset=93 | age=41 | gender=Female
[GROUP-2] key=260 | partition=1 | offset=94 | age=55 | gender=Male
[GROUP-2] key=262 | partition=1 | offset=95 | age=37 | gender=Female
[GROUP-2] key=269 | partition=1 | offset=96 | age=35 | gender=Female
[GROUP-2] key=271 | partition=1 | offset=97 | age=52 | gender=Male
[GROUP-2] key=272 | partition=1 | offset=98 | age=33 | gender=Male
[GROUP-2] key=277 | partition=1 | offset=99 | age=50 | gender=Female
[GROUP-2] key=278 | partition=1 | offset=100 | age=31 | gender=Female
[GROUP-2] key=279 | partition=1 | offset=101 | age=38 | gender=Male
[GROUP-2] key=281 | partition=1 | offset=102 | age=25 | gender=Male
[GROUP-2] key=283 | partition=1 | offset=103 | age=20 | gender=Male
[GROUP-2] key=288 | partition=1 | offset=104 | age=39 | gender=Male
[GROUP-2] key=295 | partition=1 | offset=105 | age=51 | gender=Female
[GROUP-2] key=296 | partition=1 | offset=106 | age=38 | gender=Male
[GROUP-2] key=298 | partition=1 | offset=107 | age=50 | gender=Male
[GROUP-2] key=301 | partition=1 | offset=108 | age=22 | gender=Male
[GROUP-2] key=302 | partition=1 | offset=109 | age=36 | gender=Male
[GROUP-2] key=304 | partition=1 | offset=110 | age=52 | gender=Other
[GROUP-2] key=307 | partition=1 | offset=111 | age=47 | gender=Male
[GROUP-2] key=308 | partition=1 | offset=112 | age=46 | gender=Male
[GROUP-2] key=310 | partition=1 | offset=113 | age=52 | gender=Male
[GROUP-2] key=319 | partition=1 | offset=114 | age=49 | gender=Female
[GROUP-2] key=320 | partition=1 | offset=115 | age=40 | gender=Female
[GROUP-2] key=326 | partition=1 | offset=116 | age=48 | gender=Male
[GROUP-2] key=328 | partition=1 | offset=117 | age=57 | gender=Female
[GROUP-2] key=329 | partition=1 | offset=118 | age=41 | gender=Male
[GROUP-2] key=331 | partition=1 | offset=119 | age=39 | gender=Female
[GROUP-2] key=333 | partition=1 | offset=120 | age=19 | gender=Female
[GROUP-2] key=334 | partition=1 | offset=121 | age=44 | gender=Male
[GROUP-2] key=335 | partition=1 | offset=122 | age=59 | gender=Male
[GROUP-2] key=336 | partition=1 | offset=123 | age=19 | gender=Male
[GROUP-2] key=339 | partition=1 | offset=124 | age=57 | gender=Male
[GROUP-2] key=343 | partition=1 | offset=125 | age=46 | gender=Female
[GROUP-2] key=344 | partition=1 | offset=126 | age=59 | gender=Female
[GROUP-2] key=345 | partition=1 | offset=127 | age=43 | gender=Male
[GROUP-2] key=352 | partition=1 | offset=128 | age=37 | gender=Male
[GROUP-2] key=353 | partition=1 | offset=129 | age=18 | gender=Female
[GROUP-2] key=355 | partition=1 | offset=130 | age=33 | gender=Male
[GROUP-2] key=356 | partition=1 | offset=131 | age=31 | gender=Female
[GROUP-2] key=363 | partition=1 | offset=132 | age=49 | gender=Female
[GROUP-2] key=366 | partition=1 | offset=133 | age=42 | gender=Male
[GROUP-2] key=374 | partition=1 | offset=134 | age=25 | gender=Female
[GROUP-2] key=377 | partition=1 | offset=135 | age=21 | gender=Female
[GROUP-2] key=378 | partition=1 | offset=136 | age=23 | gender=Female
[GROUP-2] key=381 | partition=1 | offset=137 | age=52 | gender=Female
[GROUP-2] key=382 | partition=1 | offset=138 | age=57 | gender=Male
[GROUP-2] key=384 | partition=1 | offset=139 | age=30 | gender=Female
[GROUP-2] key=385 | partition=1 | offset=140 | age=59 | gender=Male
[GROUP-2] key=386 | partition=1 | offset=141 | age=47 | gender=Female
[GROUP-2] key=389 | partition=1 | offset=142 | age=36 | gender=Female
[GROUP-2] key=396 | partition=1 | offset=143 | age=29 | gender=Female
[GROUP-2] key=399 | partition=1 | offset=144 | age=51 | gender=Female
[GROUP-2] key=403 | partition=1 | offset=145 | age=18 | gender=Female
[GROUP-2] key=408 | partition=1 | offset=146 | age=46 | gender=Male
[GROUP-2] key=410 | partition=1 | offset=147 | age=29 | gender=Male
[GROUP-2] key=416 | partition=1 | offset=148 | age=31 | gender=Female
[GROUP-2] key=418 | partition=1 | offset=149 | age=22 | gender=Male
[GROUP-2] key=420 | partition=1 | offset=150 | age=22 | gender=Female
[GROUP-2] key=425 | partition=1 | offset=151 | age=38 | gender=Female
[GROUP-2] key=426 | partition=1 | offset=152 | age=56 | gender=Other
[GROUP-2] key=427 | partition=1 | offset=153 | age=53 | gender=Male
[GROUP-2] key=428 | partition=1 | offset=154 | age=50 | gender=Female
[GROUP-2] key=429 | partition=1 | offset=155 | age=47 | gender=Male
[GROUP-2] key=432 | partition=1 | offset=156 | age=27 | gender=Female
[GROUP-2] key=436 | partition=1 | offset=157 | age=48 | gender=Male
[GROUP-2] key=446 | partition=1 | offset=158 | age=19 | gender=Other
[GROUP-2] key=447 | partition=1 | offset=159 | age=45 | gender=Male
[GROUP-2] key=451 | partition=1 | offset=160 | age=41 | gender=Female
[GROUP-2] key=452 | partition=1 | offset=161 | age=29 | gender=Female
[GROUP-2] key=455 | partition=1 | offset=162 | age=50 | gender=Female
[GROUP-2] key=457 | partition=1 | offset=163 | age=29 | gender=Male
[GROUP-2] key=459 | partition=1 | offset=164 | age=18 | gender=Male
[GROUP-2] key=463 | partition=1 | offset=165 | age=46 | gender=Female
[GROUP-2] key=468 | partition=1 | offset=166 | age=52 | gender=Male
[GROUP-2] key=469 | partition=1 | offset=167 | age=40 | gender=Male
[GROUP-2] key=475 | partition=1 | offset=168 | age=27 | gender=Female
[GROUP-2] key=477 | partition=1 | offset=169 | age=51 | gender=Male
[GROUP-2] key=481 | partition=1 | offset=170 | age=28 | gender=Male
[GROUP-2] key=482 | partition=1 | offset=171 | age=46 | gender=Female
[GROUP-2] key=484 | partition=1 | offset=172 | age=42 | gender=Male
[GROUP-2] key=486 | partition=1 | offset=173 | age=53 | gender=Female
[GROUP-2] key=487 | partition=1 | offset=174 | age=27 | gender=Female
[GROUP-2] key=491 | partition=1 | offset=175 | age=52 | gender=Male
[GROUP-2] key=492 | partition=1 | offset=176 | age=52 | gender=Female
[GROUP-2] key=494 | partition=1 | offset=177 | age=35 | gender=Female
[GROUP-2] key=502 | partition=1 | offset=178 | age=30 | gender=Female
[GROUP-2] key=505 | partition=1 | offset=179 | age=52 | gender=Male
[GROUP-2] key=511 | partition=1 | offset=180 | age=39 | gender=Female
[GROUP-2] key=512 | partition=1 | offset=181 | age=30 | gender=Female
[GROUP-2] key=519 | partition=1 | offset=182 | age=26 | gender=Female
[GROUP-2] key=522 | partition=1 | offset=183 | age=31 | gender=Female
[GROUP-2] key=526 | partition=1 | offset=184 | age=22 | gender=Female
[GROUP-2] key=530 | partition=1 | offset=185 | age=38 | gender=Female
[GROUP-2] key=536 | partition=1 | offset=186 | age=56 | gender=Male
[GROUP-2] key=539 | partition=1 | offset=187 | age=22 | gender=Female
[GROUP-2] key=540 | partition=1 | offset=188 | age=52 | gender=Male
[GROUP-2] key=541 | partition=1 | offset=189 | age=40 | gender=Male
[GROUP-2] key=544 | partition=1 | offset=190 | age=35 | gender=Female
[GROUP-2] key=548 | partition=1 | offset=191 | age=34 | gender=Female
[GROUP-2] key=551 | partition=1 | offset=192 | age=30 | gender=Female
[GROUP-2] key=552 | partition=1 | offset=193 | age=57 | gender=Other
[GROUP-2] key=555 | partition=1 | offset=194 | age=44 | gender=Female
[GROUP-2] key=559 | partition=1 | offset=195 | age=54 | gender=Male
[GROUP-2] key=560 | partition=1 | offset=196 | age=55 | gender=Male
[GROUP-2] key=563 | partition=1 | offset=197 | age=18 | gender=Female
[GROUP-2] key=564 | partition=1 | offset=198 | age=39 | gender=Male
[GROUP-2] key=568 | partition=1 | offset=199 | age=21 | gender=Other
[GROUP-2] key=572 | partition=1 | offset=200 | age=36 | gender=Female
[GROUP-2] key=574 | partition=1 | offset=201 | age=44 | gender=Male
[GROUP-2] key=578 | partition=1 | offset=202 | age=56 | gender=Female
[GROUP-2] key=579 | partition=1 | offset=203 | age=20 | gender=Male
[GROUP-2] key=582 | partition=1 | offset=204 | age=37 | gender=Male
[GROUP-2] key=584 | partition=1 | offset=205 | age=25 | gender=Male
[GROUP-2] key=586 | partition=1 | offset=206 | age=56 | gender=Female
[GROUP-2] key=587 | partition=1 | offset=207 | age=18 | gender=Male
[GROUP-2] key=589 | partition=1 | offset=208 | age=30 | gender=Female
[GROUP-2] key=592 | partition=1 | offset=209 | age=50 | gender=Female
[GROUP-2] key=594 | partition=1 | offset=210 | age=23 | gender=Male
[GROUP-2] key=597 | partition=1 | offset=211 | age=33 | gender=Female
[GROUP-2] key=598 | partition=1 | offset=212 | age=38 | gender=Male
[GROUP-2] key=599 | partition=1 | offset=213 | age=28 | gender=Male
[GROUP-2] key=601 | partition=1 | offset=214 | age=53 | gender=Male
[GROUP-2] key=607 | partition=1 | offset=215 | age=31 | gender=Male
[GROUP-2] key=613 | partition=1 | offset=216 | age=40 | gender=Female
[GROUP-2] key=618 | partition=1 | offset=217 | age=33 | gender=Male
[GROUP-2] key=619 | partition=1 | offset=218 | age=25 | gender=Male
[GROUP-2] key=620 | partition=1 | offset=219 | age=55 | gender=Female
[GROUP-2] key=623 | partition=1 | offset=220 | age=45 | gender=Female
[GROUP-2] key=624 | partition=1 | offset=221 | age=25 | gender=Male
[GROUP-2] key=627 | partition=1 | offset=222 | age=43 | gender=Male
[GROUP-2] key=628 | partition=1 | offset=223 | age=25 | gender=Male
[GROUP-2] key=631 | partition=1 | offset=224 | age=54 | gender=Female
[GROUP-2] key=634 | partition=1 | offset=225 | age=44 | gender=Male
[GROUP-2] key=637 | partition=1 | offset=226 | age=50 | gender=Male
[GROUP-2] key=640 | partition=1 | offset=227 | age=45 | gender=Female
[GROUP-2] key=641 | partition=1 | offset=228 | age=46 | gender=Male
[GROUP-2] key=642 | partition=1 | offset=229 | age=30 | gender=Female
[GROUP-2] key=646 | partition=1 | offset=230 | age=22 | gender=Female
[GROUP-2] key=647 | partition=1 | offset=231 | age=42 | gender=Male
[GROUP-2] key=648 | partition=1 | offset=232 | age=19 | gender=Male
[GROUP-2] key=652 | partition=1 | offset=233 | age=50 | gender=Female
[GROUP-2] key=654 | partition=1 | offset=234 | age=35 | gender=Female
[GROUP-2] key=666 | partition=1 | offset=235 | age=52 | gender=Female
[GROUP-2] key=671 | partition=1 | offset=236 | age=34 | gender=Female
[GROUP-2] key=673 | partition=1 | offset=237 | age=48 | gender=Female
[GROUP-2] key=682 | partition=1 | offset=238 | age=36 | gender=Male
[GROUP-2] key=689 | partition=1 | offset=239 | age=21 | gender=Female
[GROUP-2] key=694 | partition=1 | offset=240 | age=45 | gender=Female
[GROUP-2] key=695 | partition=1 | offset=241 | age=48 | gender=Male
[GROUP-2] key=699 | partition=1 | offset=242 | age=51 | gender=Female
[GROUP-2] key=700 | partition=1 | offset=243 | age=20 | gender=Female
[GROUP-2] key=703 | partition=1 | offset=244 | age=22 | gender=Female
[GROUP-2] key=709 | partition=1 | offset=245 | age=54 | gender=Female
[GROUP-2] key=718 | partition=1 | offset=246 | age=51 | gender=Male
[GROUP-2] key=725 | partition=1 | offset=247 | age=50 | gender=Female
[GROUP-2] key=726 | partition=1 | offset=248 | age=41 | gender=Female
[GROUP-2] key=729 | partition=1 | offset=249 | age=59 | gender=Male
[GROUP-2] key=734 | partition=1 | offset=250 | age=27 | gender=Female
[GROUP-2] key=735 | partition=1 | offset=251 | age=34 | gender=Female
[GROUP-2] key=738 | partition=1 | offset=252 | age=37 | gender=Female
[GROUP-2] key=741 | partition=1 | offset=253 | age=51 | gender=Male
[GROUP-2] key=744 | partition=1 | offset=254 | age=30 | gender=Female
[GROUP-2] key=748 | partition=1 | offset=255 | age=48 | gender=Male
[GROUP-2] key=753 | partition=1 | offset=256 | age=57 | gender=Male
[GROUP-2] key=754 | partition=1 | offset=257 | age=21 | gender=Other
[GROUP-2] key=755 | partition=1 | offset=258 | age=42 | gender=Male
[GROUP-2] key=759 | partition=1 | offset=259 | age=44 | gender=Male
[GROUP-2] key=760 | partition=1 | offset=260 | age=46 | gender=Other
[GROUP-2] key=764 | partition=1 | offset=261 | age=22 | gender=Male
[GROUP-2] key=766 | partition=1 | offset=262 | age=45 | gender=Male
[GROUP-2] key=773 | partition=1 | offset=263 | age=58 | gender=Male
[GROUP-2] key=778 | partition=1 | offset=264 | age=43 | gender=Female
[GROUP-2] key=779 | partition=1 | offset=265 | age=44 | gender=Female
[GROUP-2] key=780 | partition=1 | offset=266 | age=26 | gender=Female
[GROUP-2] key=784 | partition=1 | offset=267 | age=34 | gender=Male
[GROUP-2] key=787 | partition=1 | offset=268 | age=18 | gender=Female
[GROUP-2] key=789 | partition=1 | offset=269 | age=52 | gender=Male
[GROUP-2] key=792 | partition=1 | offset=270 | age=31 | gender=Male
[GROUP-2] key=793 | partition=1 | offset=271 | age=43 | gender=Female
[GROUP-2] key=796 | partition=1 | offset=272 | age=31 | gender=Other
[GROUP-2] key=797 | partition=1 | offset=273 | age=41 | gender=Other
[GROUP-2] key=798 | partition=1 | offset=274 | age=19 | gender=Male
[GROUP-2] key=7 | partition=0 | offset=0 | age=40 | gender=Male
[GROUP-2] key=9 | partition=0 | offset=1 | age=28 | gender=Male
[GROUP-2] key=10 | partition=0 | offset=2 | age=41 | gender=Male
[GROUP-2] key=11 | partition=0 | offset=3 | age=53 | gender=Male
[GROUP-2] key=12 | partition=0 | offset=4 | age=57 | gender=Male
[GROUP-2] key=14 | partition=0 | offset=5 | age=20 | gender=Male
[GROUP-2] key=16 | partition=0 | offset=6 | age=19 | gender=Male
[GROUP-2] key=18 | partition=0 | offset=7 | age=47 | gender=Female
[GROUP-2] key=20 | partition=0 | offset=8 | age=19 | gender=Female
[GROUP-2] key=25 | partition=0 | offset=9 | age=42 | gender=Female
[GROUP-2] key=27 | partition=0 | offset=10 | age=59 | gender=Male
[GROUP-2] key=28 | partition=0 | offset=11 | age=45 | gender=Male
[GROUP-2] key=38 | partition=0 | offset=12 | age=21 | gender=Male
[GROUP-2] key=46 | partition=0 | offset=13 | age=24 | gender=Male
[GROUP-2] key=47 | partition=0 | offset=14 | age=25 | gender=Other
[GROUP-2] key=48 | partition=0 | offset=15 | age=52 | gender=Male
[GROUP-2] key=49 | partition=0 | offset=16 | age=31 | gender=Male
[GROUP-2] key=50 | partition=0 | offset=17 | age=34 | gender=Other
[GROUP-2] key=51 | partition=0 | offset=18 | age=53 | gender=Female
[GROUP-2] key=53 | partition=0 | offset=19 | age=21 | gender=Male
[GROUP-2] key=57 | partition=0 | offset=20 | age=21 | gender=Female
[GROUP-2] key=58 | partition=0 | offset=21 | age=46 | gender=Female
[GROUP-2] key=60 | partition=0 | offset=22 | age=43 | gender=Female
[GROUP-2] key=63 | partition=0 | offset=23 | age=53 | gender=Male
[GROUP-2] key=64 | partition=0 | offset=24 | age=31 | gender=Female
[GROUP-2] key=65 | partition=0 | offset=25 | age=48 | gender=Male
[GROUP-2] key=72 | partition=0 | offset=26 | age=33 | gender=Female
[GROUP-2] key=75 | partition=0 | offset=27 | age=43 | gender=Male
[GROUP-2] key=77 | partition=0 | offset=28 | age=58 | gender=Other
[GROUP-2] key=78 | partition=0 | offset=29 | age=46 | gender=Male
[GROUP-2] key=80 | partition=0 | offset=30 | age=18 | gender=Male
[GROUP-2] key=82 | partition=0 | offset=31 | age=24 | gender=Female
[GROUP-2] key=85 | partition=0 | offset=32 | age=18 | gender=Male
[GROUP-2] key=86 | partition=0 | offset=33 | age=25 | gender=Male
[GROUP-2] key=89 | partition=0 | offset=34 | age=34 | gender=Other
[GROUP-2] key=90 | partition=0 | offset=35 | age=25 | gender=Male
[GROUP-2] key=91 | partition=0 | offset=36 | age=52 | gender=Female
[GROUP-2] key=94 | partition=0 | offset=37 | age=22 | gender=Male
[GROUP-2] key=95 | partition=0 | offset=38 | age=59 | gender=Female
[GROUP-2] key=97 | partition=0 | offset=39 | age=58 | gender=Female
[GROUP-2] key=98 | partition=0 | offset=40 | age=45 | gender=Male
[GROUP-2] key=99 | partition=0 | offset=41 | age=24 | gender=Female
[GROUP-2] key=100 | partition=0 | offset=42 | age=26 | gender=Male
[GROUP-2] key=102 | partition=0 | offset=43 | age=29 | gender=Male
[GROUP-2] key=103 | partition=0 | offset=44 | age=51 | gender=Female
[GROUP-2] key=104 | partition=0 | offset=45 | age=50 | gender=Female
[GROUP-2] key=106 | partition=0 | offset=46 | age=41 | gender=Male
[GROUP-2] key=114 | partition=0 | offset=47 | age=52 | gender=Female
[GROUP-2] key=118 | partition=0 | offset=48 | age=18 | gender=Male
[GROUP-2] key=129 | partition=0 | offset=49 | age=30 | gender=Female
[GROUP-2] key=131 | partition=0 | offset=50 | age=56 | gender=Female
[GROUP-2] key=132 | partition=0 | offset=51 | age=49 | gender=Male
[GROUP-2] key=144 | partition=0 | offset=52 | age=39 | gender=Male
[GROUP-2] key=146 | partition=0 | offset=53 | age=19 | gender=Female
[GROUP-2] key=153 | partition=0 | offset=54 | age=28 | gender=Female
[GROUP-2] key=155 | partition=0 | offset=55 | age=42 | gender=Male
[GROUP-2] key=165 | partition=0 | offset=56 | age=25 | gender=Female
[GROUP-2] key=166 | partition=0 | offset=57 | age=44 | gender=Male
[GROUP-2] key=170 | partition=0 | offset=58 | age=59 | gender=Female
[GROUP-2] key=172 | partition=0 | offset=59 | age=32 | gender=Female
[GROUP-2] key=174 | partition=0 | offset=60 | age=49 | gender=Female
[GROUP-2] key=177 | partition=0 | offset=61 | age=29 | gender=Female
[GROUP-2] key=178 | partition=0 | offset=62 | age=56 | gender=Female
[GROUP-2] key=181 | partition=0 | offset=63 | age=54 | gender=Male
[GROUP-2] key=182 | partition=0 | offset=64 | age=34 | gender=Other
[GROUP-2] key=186 | partition=0 | offset=65 | age=40 | gender=Female
[GROUP-2] key=188 | partition=0 | offset=66 | age=49 | gender=Female
[GROUP-2] key=198 | partition=0 | offset=67 | age=28 | gender=Male
[GROUP-2] key=201 | partition=0 | offset=68 | age=41 | gender=Male
[GROUP-2] key=204 | partition=0 | offset=69 | age=23 | gender=Male
[GROUP-2] key=205 | partition=0 | offset=70 | age=39 | gender=Male
[GROUP-2] key=214 | partition=0 | offset=71 | age=37 | gender=Male
[GROUP-2] key=216 | partition=0 | offset=72 | age=36 | gender=Male
[GROUP-2] key=217 | partition=0 | offset=73 | age=43 | gender=Male
[GROUP-2] key=222 | partition=0 | offset=74 | age=24 | gender=Male
[GROUP-2] key=227 | partition=0 | offset=75 | age=35 | gender=Male
[GROUP-2] key=230 | partition=0 | offset=76 | age=28 | gender=Female
[GROUP-2] key=232 | partition=0 | offset=77 | age=42 | gender=Female
[GROUP-2] key=233 | partition=0 | offset=78 | age=40 | gender=Male
[GROUP-2] key=236 | partition=0 | offset=79 | age=59 | gender=Male
[GROUP-2] key=237 | partition=0 | offset=80 | age=52 | gender=Female
[GROUP-2] key=242 | partition=0 | offset=81 | age=18 | gender=Male
[GROUP-2] key=245 | partition=0 | offset=82 | age=54 | gender=Male
[GROUP-2] key=247 | partition=0 | offset=83 | age=26 | gender=Male
[GROUP-2] key=251 | partition=0 | offset=84 | age=33 | gender=Male
[GROUP-2] key=252 | partition=0 | offset=85 | age=20 | gender=Male
[GROUP-2] key=255 | partition=0 | offset=86 | age=50 | gender=Male
[GROUP-2] key=257 | partition=0 | offset=87 | age=28 | gender=Male
[GROUP-2] key=259 | partition=0 | offset=88 | age=53 | gender=Male
[GROUP-2] key=264 | partition=0 | offset=89 | age=42 | gender=Female
[GROUP-2] key=266 | partition=0 | offset=90 | age=42 | gender=Female
[GROUP-2] key=267 | partition=0 | offset=91 | age=46 | gender=Male
[GROUP-2] key=273 | partition=0 | offset=92 | age=58 | gender=Male
[GROUP-2] key=275 | partition=0 | offset=93 | age=50 | gender=Female
[GROUP-2] key=282 | partition=0 | offset=94 | age=24 | gender=Female
[GROUP-2] key=284 | partition=0 | offset=95 | age=34 | gender=Female
[GROUP-2] key=286 | partition=0 | offset=96 | age=29 | gender=Female
[GROUP-2] key=289 | partition=0 | offset=97 | age=47 | gender=Female
[GROUP-2] key=291 | partition=0 | offset=98 | age=55 | gender=Male
[GROUP-2] key=292 | partition=0 | offset=99 | age=25 | gender=Female
[GROUP-2] key=293 | partition=0 | offset=100 | age=44 | gender=Female
[GROUP-2] key=294 | partition=0 | offset=101 | age=44 | gender=Female
[GROUP-2] key=306 | partition=0 | offset=102 | age=45 | gender=Male
[GROUP-2] key=309 | partition=0 | offset=103 | age=23 | gender=Female
[GROUP-2] key=314 | partition=0 | offset=104 | age=46 | gender=Female
[GROUP-2] key=315 | partition=0 | offset=105 | age=48 | gender=Female
[GROUP-2] key=316 | partition=0 | offset=106 | age=52 | gender=Male
[GROUP-2] key=317 | partition=0 | offset=107 | age=50 | gender=Male
[GROUP-2] key=318 | partition=0 | offset=108 | age=38 | gender=Male
