Group: consumption-group-2 | Topic: consumption_events
Waiting for messages... (Ctrl+C to stop)
------------------------------------------------------------
[GROUP-2] key=7 | partition=0 | offset=0 | meals=10 | calories=2983
[GROUP-2] key=129 | partition=0 | offset=49 | meals=1 | calories=1787
[GROUP-2] key=131 | partition=0 | offset=50 | meals=8 | calories=2540
[GROUP-2] key=132 | partition=0 | offset=51 | meals=2 | calories=2643
[GROUP-2] key=144 | partition=0 | offset=52 | meals=4 | calories=2678
[GROUP-2] key=146 | partition=0 | offset=53 | meals=4 | calories=2499
[GROUP-2] key=153 | partition=0 | offset=54 | meals=5 | calories=2811
[GROUP-2] key=155 | partition=0 | offset=55 | meals=1 | calories=2514
[GROUP-2] key=165 | partition=0 | offset=56 | meals=4 | calories=2597
[GROUP-2] key=166 | partition=0 | offset=57 | meals=11 | calories=2740
[GROUP-2] key=170 | partition=0 | offset=58 | meals=10 | calories=1618
[GROUP-2] key=172 | partition=0 | offset=59 | meals=14 | calories=3308
[GROUP-2] key=174 | partition=0 | offset=60 | meals=4 | calories=2973
[GROUP-2] key=177 | partition=0 | offset=61 | meals=2 | calories=2806
[GROUP-2] key=178 | partition=0 | offset=62 | meals=1 | calories=2080
[GROUP-2] key=181 | partition=0 | offset=63 | meals=3 | calories=3251
[GROUP-2] key=182 | partition=0 | offset=64 | meals=4 | calories=2736
[GROUP-2] key=186 | partition=0 | offset=65 | meals=12 | calories=2926
[GROUP-2] key=188 | partition=0 | offset=66 | meals=11 | calories=3448
[GROUP-2] key=198 | partition=0 | offset=67 | meals=3 | calories=2670
[GROUP-2] key=201 | partition=0 | offset=68 | meals=13 | calories=3182
[GROUP-2] key=204 | partition=0 | offset=69 | meals=14 | calories=1674
[GROUP-2] key=205 | partition=0 | offset=70 | meals=11 | calories=3494
[GROUP-2] key=214 | partition=0 | offset=71 | meals=9 | calories=1649
[GROUP-2] key=216 | partition=0 | offset=72 | meals=9 | calories=2572
[GROUP-2] key=217 | partition=0 | offset=73 | meals=7 | calories=3242
[GROUP-2] key=222 | partition=0 | offset=74 | meals=6 | calories=2309
[GROUP-2] key=227 | partition=0 | offset=75 | meals=12 | calories=2146
[GROUP-2] key=230 | partition=0 | offset=76 | meals=10 | calories=2180
[GROUP-2] key=232 | partition=0 | offset=77 | meals=6 | calories=3455
[GROUP-2] key=233 | partition=0 | offset=78 | meals=5 | calories=1648
[GROUP-2] key=236 | partition=0 | offset=79 | meals=5 | calories=2303
[GROUP-2] key=237 | partition=0 | offset=80 | meals=11 | calories=1860
[GROUP-2] key=242 | partition=0 | offset=81 | meals=9 | calories=2237
[GROUP-2] key=245 | partition=0 | offset=82 | meals=8 | calories=2609
[GROUP-2] key=247 | partition=0 | offset=83 | meals=9 | calories=2240
[GROUP-2] key=251 | partition=0 | offset=84 | meals=9 | calories=3461
[GROUP-2] key=252 | partition=0 | offset=85 | meals=10 | calories=2408
[GROUP-2] key=255 | partition=0 | offset=86 | meals=1 | calories=3451
[GROUP-2] key=257 | partition=0 | offset=87 | meals=2 | calories=1787
[GROUP-2] key=259 | partition=0 | offset=88 | meals=11 | calories=3166
[GROUP-2] key=264 | partition=0 | offset=89 | meals=2 | calories=2324
[GROUP-2] key=266 | partition=0 | offset=90 | meals=9 | calories=3031
[GROUP-2] key=267 | partition=0 | offset=91 | meals=0 | calories=2475
[GROUP-2] key=273 | partition=0 | offset=92 | meals=2 | calories=1762
[GROUP-2] key=275 | partition=0 | offset=93 | meals=1 | calories=1869
[GROUP-2] key=282 | partition=0 | offset=94 | meals=14 | calories=3352
[GROUP-2] key=284 | partition=0 | offset=95 | meals=11 | calories=2181
[GROUP-2] key=286 | partition=0 | offset=96 | meals=10 | calories=2440
[GROUP-2] key=289 | partition=0 | offset=97 | meals=13 | calories=3319
[GROUP-2] key=291 | partition=0 | offset=98 | meals=12 | calories=2195
[GROUP-2] key=292 | partition=0 | offset=99 | meals=8 | calories=3473
[GROUP-2] key=293 | partition=0 | offset=100 | meals=13 | calories=1849
[GROUP-2] key=294 | partition=0 | offset=101 | meals=8 | calories=2474
[GROUP-2] key=306 | partition=0 | offset=102 | meals=0 | calories=2771
[GROUP-2] key=309 | partition=0 | offset=103 | meals=7 | calories=2543
[GROUP-2] key=314 | partition=0 | offset=104 | meals=9 | calories=2495
[GROUP-2] key=315 | partition=0 | offset=105 | meals=5 | calories=1741
[GROUP-2] key=316 | partition=0 | offset=106 | meals=9 | calories=2936
[GROUP-2] key=317 | partition=0 | offset=107 | meals=6 | calories=1764
[GROUP-2] key=318 | partition=0 | offset=108 | meals=12 | calories=1913
[GROUP-2] key=323 | partition=0 | offset=109 | meals=0 | calories=3222
[GROUP-2] key=330 | partition=0 | offset=110 | meals=5 | calories=1983
[GROUP-2] key=332 | partition=0 | offset=111 | meals=6 | calories=2024
[GROUP-2] key=338 | partition=0 | offset=112 | meals=11 | calories=2089
[GROUP-2] key=340 | partition=0 | offset=113 | meals=11 | calories=1926
[GROUP-2] key=342 | partition=0 | offset=114 | meals=4 | calories=2614
[GROUP-2] key=346 | partition=0 | offset=115 | meals=1 | calories=3196
[GROUP-2] key=351 | partition=0 | offset=116 | meals=9 | calories=1642
[GROUP-2] key=358 | partition=0 | offset=117 | meals=1 | calories=2565
[GROUP-2] key=360 | partition=0 | offset=118 | meals=0 | calories=1797
[GROUP-2] key=361 | partition=0 | offset=119 | meals=2 | calories=2209
[GROUP-2] key=364 | partition=0 | offset=120 | meals=13 | calories=2452
[GROUP-2] key=367 | partition=0 | offset=121 | meals=5 | calories=1621
[GROUP-2] key=368 | partition=0 | offset=122 | meals=11 | calories=2735
[GROUP-2] key=369 | partition=0 | offset=123 | meals=9 | calories=2680
[GROUP-2] key=372 | partition=0 | offset=124 | meals=12 | calories=1697
[GROUP-2] key=375 | partition=0 | offset=125 | meals=14 | calories=2236
[GROUP-2] key=383 | partition=0 | offset=126 | meals=11 | calories=2210
[GROUP-2] key=388 | partition=0 | offset=127 | meals=2 | calories=2559
[GROUP-2] key=390 | partition=0 | offset=128 | meals=12 | calories=1990
[GROUP-2] key=391 | partition=0 | offset=129 | meals=6 | calories=1876
[GROUP-2] key=394 | partition=0 | offset=130 | meals=7 | calories=1982
[GROUP-2] key=395 | partition=0 | offset=131 | meals=5 | calories=2691
[GROUP-2] key=398 | partition=0 | offset=132 | meals=7 | calories=3278
[GROUP-2] key=400 | partition=0 | offset=133 | meals=11 | calories=2343
[GROUP-2] key=401 | partition=0 | offset=134 | meals=0 | calories=1812
[GROUP-2] key=402 | partition=0 | offset=135 | meals=8 | calories=1678
[GROUP-2] key=405 | partition=0 | offset=136 | meals=3 | calories=2203
[GROUP-2] key=406 | partition=0 | offset=137 | meals=5 | calories=2381
[GROUP-2] key=412 | partition=0 | offset=138 | meals=4 | calories=2649
[GROUP-2] key=413 | partition=0 | offset=139 | meals=11 | calories=2480
[GROUP-2] key=414 | partition=0 | offset=140 | meals=5 | calories=2046
[GROUP-2] key=419 | partition=0 | offset=141 | meals=3 | calories=2720
[GROUP-2] key=421 | partition=0 | offset=142 | meals=6 | calories=2611
[GROUP-2] key=424 | partition=0 | offset=143 | meals=1 | calories=2278
[GROUP-2] key=430 | partition=0 | offset=144 | meals=8 | calories=3050
[GROUP-2] key=433 | partition=0 | offset=145 | meals=2 | calories=2378
[GROUP-2] key=435 | partition=0 | offset=146 | meals=13 | calories=1867
[GROUP-2] key=437 | partition=0 | offset=147 | meals=9 | calories=1607
[GROUP-2] key=438 | partition=0 | offset=148 | meals=3 | calories=2107
[GROUP-2] key=441 | partition=0 | offset=149 | meals=5 | calories=1763
[GROUP-2] key=442 | partition=0 | offset=150 | meals=2 | calories=2084
[GROUP-2] key=443 | partition=0 | offset=151 | meals=5 | calories=3220
[GROUP-2] key=449 | partition=0 | offset=152 | meals=3 | calories=2727
[GROUP-2] key=453 | partition=0 | offset=153 | meals=0 | calories=2067
[GROUP-2] key=454 | partition=0 | offset=154 | meals=9 | calories=3077
[GROUP-2] key=464 | partition=0 | offset=155 | meals=5 | calories=3498
[GROUP-2] key=466 | partition=0 | offset=156 | meals=6 | calories=2085
[GROUP-2] key=470 | partition=0 | offset=157 | meals=14 | calories=2614
[GROUP-2] key=471 | partition=0 | offset=158 | meals=4 | calories=2623
[GROUP-2] key=473 | partition=0 | offset=159 | meals=1 | calories=2212
[GROUP-2] key=476 | partition=0 | offset=160 | meals=2 | calories=3242
[GROUP-2] key=478 | partition=0 | offset=161 | meals=13 | calories=1859
[GROUP-2] key=489 | partition=0 | offset=162 | meals=14 | calories=2752
[GROUP-2] key=490 | partition=0 | offset=163 | meals=13 | calories=2174
[GROUP-2] key=497 | partition=0 | offset=164 | meals=2 | calories=2883
[GROUP-2] key=499 | partition=0 | offset=165 | meals=8 | calories=2725
[GROUP-2] key=501 | partition=0 | offset=166 | meals=8 | calories=3358
[GROUP-2] key=0 | partition=2 | offset=0 | meals=1 | calories=3153
[GROUP-2] key=1 | partition=2 | offset=1 | meals=12 | calories=1748
[GROUP-2] key=8 | partition=2 | offset=2 | meals=1 | calories=1837
[GROUP-2] key=13 | partition=2 | offset=3 | meals=6 | calories=1802
[GROUP-2] key=17 | partition=2 | offset=4 | meals=1 | calories=1834
[GROUP-2] key=22 | partition=2 | offset=5 | meals=1 | calories=3404
[GROUP-2] key=24 | partition=2 | offset=6 | meals=0 | calories=2369
[GROUP-2] key=29 | partition=2 | offset=7 | meals=4 | calories=1882
[GROUP-2] key=33 | partition=2 | offset=8 | meals=1 | calories=3030
[GROUP-2] key=34 | partition=2 | offset=9 | meals=0 | calories=1687
[GROUP-2] key=40 | partition=2 | offset=10 | meals=13 | calories=3324
[GROUP-2] key=41 | partition=2 | offset=11 | meals=1 | calories=2976
[GROUP-2] key=42 | partition=2 | offset=12 | meals=1 | calories=2295
[GROUP-2] key=44 | partition=2 | offset=13 | meals=9 | calories=2302
[GROUP-2] key=55 | partition=2 | offset=14 | meals=0 | calories=2852
[GROUP-2] key=59 | partition=2 | offset=15 | meals=13 | calories=2809
[GROUP-2] key=74 | partition=2 | offset=16 | meals=12 | calories=2072
[GROUP-2] key=76 | partition=2 | offset=17 | meals=4 | calories=3028
[GROUP-2] key=79 | partition=2 | offset=18 | meals=8 | calories=3354
[GROUP-2] key=81 | partition=2 | offset=19 | meals=3 | calories=2689
[GROUP-2] key=83 | partition=2 | offset=20 | meals=12 | calories=1711
[GROUP-2] key=101 | partition=2 | offset=21 | meals=5 | calories=2186
[GROUP-2] key=105 | partition=2 | offset=22 | meals=14 | calories=2693
[GROUP-2] key=110 | partition=2 | offset=23 | meals=14 | calories=1731
[GROUP-2] key=111 | partition=2 | offset=24 | meals=4 | calories=3246
[GROUP-2] key=113 | partition=2 | offset=25 | meals=11 | calories=2755
[GROUP-2] key=120 | partition=2 | offset=26 | meals=11 | calories=3365
[GROUP-2] key=121 | partition=2 | offset=27 | meals=5 | calories=3092
[GROUP-2] key=122 | partition=2 | offset=28 | meals=9 | calories=2421
[GROUP-2] key=124 | partition=2 | offset=29 | meals=2 | calories=2004
[GROUP-2] key=125 | partition=2 | offset=30 | meals=7 | calories=1801
[GROUP-2] key=128 | partition=2 | offset=31 | meals=9 | calories=3395
[GROUP-2] key=134 | partition=2 | offset=32 | meals=9 | calories=2742
[GROUP-2] key=135 | partition=2 | offset=33 | meals=7 | calories=2182
[GROUP-2] key=136 | partition=2 | offset=34 | meals=1 | calories=2115
[GROUP-2] key=137 | partition=2 | offset=35 | meals=5 | calories=2844
[GROUP-2] key=139 | partition=2 | offset=36 | meals=4 | calories=3138
[GROUP-2] key=140 | partition=2 | offset=37 | meals=12 | calories=3351
[GROUP-2] key=145 | partition=2 | offset=38 | meals=1 | calories=2099
[GROUP-2] key=149 | partition=2 | offset=39 | meals=3 | calories=1761
[GROUP-2] key=152 | partition=2 | offset=40 | meals=6 | calories=1758
[GROUP-2] key=154 | partition=2 | offset=41 | meals=13 | calories=1659
[GROUP-2] key=156 | partition=2 | offset=42 | meals=11 | calories=3440
[GROUP-2] key=157 | partition=2 | offset=43 | meals=10 | calories=2942
[GROUP-2] key=158 | partition=2 | offset=44 | meals=10 | calories=1810
[GROUP-2] key=162 | partition=2 | offset=45 | meals=10 | calories=2699
[GROUP-2] key=168 | partition=2 | offset=46 | meals=8 | calories=2467
[GROUP-2] key=171 | partition=2 | offset=47 | meals=2 | calories=2031
[GROUP-2] key=175 | partition=2 | offset=48 | meals=12 | calories=1782
[GROUP-2] key=176 | partition=2 | offset=49 | meals=5 | calories=1712
[GROUP-2] key=179 | partition=2 | offset=50 | meals=13 | calories=2769
[GROUP-2] key=185 | partition=2 | offset=51 | meals=10 | calories=2362
[GROUP-2] key=189 | partition=2 | offset=52 | meals=2 | calories=2619
[GROUP-2] key=190 | partition=2 | offset=53 | meals=7 | calories=2741
[GROUP-2] key=193 | partition=2 | offset=54 | meals=13 | calories=2000
[GROUP-2] key=195 | partition=2 | offset=55 | meals=1 | calories=2883
[GROUP-2] key=197 | partition=2 | offset=56 | meals=12 | calories=3375
[GROUP-2] key=202 | partition=2 | offset=57 | meals=10 | calories=1677
[GROUP-2] key=203 | partition=2 | offset=58 | meals=6 | calories=1723
[GROUP-2] key=206 | partition=2 | offset=59 | meals=9 | calories=1736
[GROUP-2] key=208 | partition=2 | offset=60 | meals=12 | calories=3023
[GROUP-2] key=209 | partition=2 | offset=61 | meals=14 | calories=2436
[GROUP-2] key=210 | partition=2 | offset=62 | meals=6 | calories=3128
[GROUP-2] key=212 | partition=2 | offset=63 | meals=7 | calories=3196
[GROUP-2] key=213 | partition=2 | offset=64 | meals=0 | calories=1737
[GROUP-2] key=219 | partition=2 | offset=65 | meals=3 | calories=3485
[GROUP-2] key=220 | partition=2 | offset=66 | meals=3 | calories=1853
[GROUP-2] key=221 | partition=2 | offset=67 | meals=5 | calories=3253
[GROUP-2] key=223 | partition=2 | offset=68 | meals=5 | calories=3472
[GROUP-2] key=225 | partition=2 | offset=69 | meals=11 | calories=2356
[GROUP-2] key=226 | partition=2 | offset=70 | meals=7 | calories=3049
[GROUP-2] key=239 | partition=2 | offset=71 | meals=9 | calories=3205
[GROUP-2] key=241 | partition=2 | offset=72 | meals=14 | calories=2883
[GROUP-2] key=244 | partition=2 | offset=73 | meals=9 | calories=2918
[GROUP-2] key=246 | partition=2 | offset=74 | meals=12 | calories=2530
[GROUP-2] key=250 | partition=2 | offset=75 | meals=0 | calories=2211
[GROUP-2] key=258 | partition=2 | offset=76 | meals=3 | calories=3192
[GROUP-2] key=261 | partition=2 | offset=77 | meals=9 | calories=3287
[GROUP-2] key=263 | partition=2 | offset=78 | meals=1 | calories=2147
[GROUP-2] key=265 | partition=2 | offset=79 | meals=3 | calories=2525
[GROUP-2] key=268 | partition=2 | offset=80 | meals=6 | calories=2217
[GROUP-2] key=270 | partition=2 | offset=81 | meals=4 | calories=2965
[GROUP-2] key=274 | partition=2 | offset=82 | meals=11 | calories=2843
[GROUP-2] key=276 | partition=2 | offset=83 | meals=0 | calories=2231
[GROUP-2] key=280 | partition=2 | offset=84 | meals=5 | calories=2805
[GROUP-2] key=285 | partition=2 | offset=85 | meals=6 | calories=3179
[GROUP-2] key=287 | partition=2 | offset=86 | meals=9 | calories=3436
[GROUP-2] key=290 | partition=2 | offset=87 | meals=12 | calories=3242
[GROUP-2] key=297 | partition=2 | offset=88 | meals=6 | calories=1795
[GROUP-2] key=299 | partition=2 | offset=89 | meals=1 | calories=3142
[GROUP-2] key=300 | partition=2 | offset=90 | meals=2 | calories=2693
[GROUP-2] key=303 | partition=2 | offset=91 | meals=12 | calories=2271
[GROUP-2] key=305 | partition=2 | offset=92 | meals=8 | calories=2826
[GROUP-2] key=311 | partition=2 | offset=93 | meals=13 | calories=3049
[GROUP-2] key=312 | partition=2 | offset=94 | meals=2 | calories=3289
[GROUP-2] key=313 | partition=2 | offset=95 | meals=3 | calories=2091
[GROUP-2] key=321 | partition=2 | offset=96 | meals=7 | calories=3204
[GROUP-2] key=322 | partition=2 | offset=97 | meals=4 | calories=2754
[GROUP-2] key=324 | partition=2 | offset=98 | meals=3 | calories=3353
[GROUP-2] key=325 | partition=2 | offset=99 | meals=2 | calories=2583
[GROUP-2] key=327 | partition=2 | offset=100 | meals=7 | calories=1970
[GROUP-2] key=337 | partition=2 | offset=101 | meals=1 | calories=2494
[GROUP-2] key=341 | partition=2 | offset=102 | meals=10 | calories=2197
[GROUP-2] key=347 | partition=2 | offset=103 | meals=2 | calories=2172
[GROUP-2] key=348 | partition=2 | offset=104 | meals=5 | calories=2977
[GROUP-2] key=349 | partition=2 | offset=105 | meals=11 | calories=1627
[GROUP-2] key=350 | partition=2 | offset=106 | meals=12 | calories=2553
[GROUP-2] key=354 | partition=2 | offset=107 | meals=5 | calories=3221
[GROUP-2] key=357 | partition=2 | offset=108 | meals=11 | calories=3233
[GROUP-2] key=359 | partition=2 | offset=109 | meals=5 | calories=3117
[GROUP-2] key=362 | partition=2 | offset=110 | meals=1 | calories=3200
[GROUP-2] key=365 | partition=2 | offset=111 | meals=3 | calories=3140
[GROUP-2] key=370 | partition=2 | offset=112 | meals=3 | calories=2689
[GROUP-2] key=371 | partition=2 | offset=113 | meals=4 | calories=2441
[GROUP-2] key=373 | partition=2 | offset=114 | meals=12 | calories=2767
[GROUP-2] key=376 | partition=2 | offset=115 | meals=8 | calories=3302
[GROUP-2] key=379 | partition=2 | offset=116 | meals=13 | calories=1943
[GROUP-2] key=380 | partition=2 | offset=117 | meals=13 | calories=2917
[GROUP-2] key=387 | partition=2 | offset=118 | meals=3 | calories=2160
[GROUP-2] key=392 | partition=2 | offset=119 | meals=11 | calories=2131
[GROUP-2] key=393 | partition=2 | offset=120 | meals=2 | calories=2777
[GROUP-2] key=397 | partition=2 | offset=121 | meals=3 | calories=1813
[GROUP-2] key=404 | partition=2 | offset=122 | meals=4 | calories=2227
[GROUP-2] key=407 | partition=2 | offset=123 | meals=5 | calories=3004
[GROUP-2] key=409 | partition=2 | offset=124 | meals=7 | calories=2279
[GROUP-2] key=411 | partition=2 | offset=125 | meals=0 | calories=3419
[GROUP-2] key=415 | partition=2 | offset=126 | meals=3 | calories=1665
[GROUP-2] key=417 | partition=2 | offset=127 | meals=12 | calories=2877
[GROUP-2] key=422 | partition=2 | offset=128 | meals=1 | calories=1826
[GROUP-2] key=423 | partition=2 | offset=129 | meals=12 | calories=2373
[GROUP-2] key=431 | partition=2 | offset=130 | meals=0 | calories=2308
[GROUP-2] key=434 | partition=2 | offset=131 | meals=3 | calories=2103
[GROUP-2] key=439 | partition=2 | offset=132 | meals=1 | calories=2075
[GROUP-2] key=440 | partition=2 | offset=133 | meals=6 | calories=2920
[GROUP-2] key=444 | partition=2 | offset=134 | meals=10 | calories=2695
[GROUP-2] key=445 | partition=2 | offset=135 | meals=14 | calories=2166
[GROUP-2] key=448 | partition=2 | offset=136 | meals=4 | calories=1837
[GROUP-2] key=450 | partition=2 | offset=137 | meals=9 | calories=2833
[GROUP-2] key=456 | partition=2 | offset=138 | meals=1 | calories=1985
[GROUP-2] key=458 | partition=2 | offset=139 | meals=2 | calories=2447
[GROUP-2] key=460 | partition=2 | offset=140 | meals=7 | calories=2476
[GROUP-2] key=461 | partition=2 | offset=141 | meals=9 | calories=1858
[GROUP-2] key=462 | partition=2 | offset=142 | meals=13 | calories=1882
[GROUP-2] key=465 | partition=2 | offset=143 | meals=2 | calories=1639
[GROUP-2] key=467 | partition=2 | offset=144 | meals=3 | calories=2528
[GROUP-2] key=472 | partition=2 | offset=145 | meals=2 | calories=3143
[GROUP-2] key=474 | partition=2 | offset=146 | meals=10 | calories=2527
[GROUP-2] key=479 | partition=2 | offset=147 | meals=3 | calories=2589
[GROUP-2] key=480 | partition=2 | offset=148 | meals=1 | calories=2565
[GROUP-2] key=483 | partition=2 | offset=149 | meals=1 | calories=3410
[GROUP-2] key=485 | partition=2 | offset=150 | meals=12 | calories=2248
[GROUP-2] key=488 | partition=2 | offset=151 | meals=3 | calories=2639
[GROUP-2] key=493 | partition=2 | offset=152 | meals=5 | calories=3156
[GROUP-2] key=495 | partition=2 | offset=153 | meals=12 | calories=1868
[GROUP-2] key=496 | partition=2 | offset=154 | meals=3 | calories=2785
[GROUP-2] key=498 | partition=2 | offset=155 | meals=2 | calories=2523
[GROUP-2] key=500 | partition=2 | offset=156 | meals=5 | calories=3129
[GROUP-2] key=503 | partition=2 | offset=157 | meals=4 | calories=1846
[GROUP-2] key=504 | partition=2 | offset=158 | meals=1 | calories=3263
[GROUP-2] key=507 | partition=2 | offset=159 | meals=1 | calories=3160
[GROUP-2] key=508 | partition=2 | offset=160 | meals=3 | calories=1730
[GROUP-2] key=510 | partition=2 | offset=161 | meals=14 | calories=1795
[GROUP-2] key=2 | partition=1 | offset=0 | meals=8 | calories=3020
[GROUP-2] key=3 | partition=1 | offset=1 | meals=6 | calories=2621
[GROUP-2] key=4 | partition=1 | offset=2 | meals=14 | calories=2260
[GROUP-2] key=5 | partition=1 | offset=3 | meals=7 | calories=3261
[GROUP-2] key=6 | partition=1 | offset=4 | meals=14 | calories=1901
[GROUP-2] key=15 | partition=1 | offset=5 | meals=12 | calories=2197
[GROUP-2] key=19 | partition=1 | offset=6 | meals=11 | calories=2133
[GROUP-2] key=21 | partition=1 | offset=7 | meals=7 | calories=3420
[GROUP-2] key=23 | partition=1 | offset=8 | meals=4 | calories=3089
[GROUP-2] key=26 | partition=1 | offset=9 | meals=7 | calories=1812
[GROUP-2] key=30 | partition=1 | offset=10 | meals=14 | calories=3185
[GROUP-2] key=31 | partition=1 | offset=11 | meals=5 | calories=3230
[GROUP-2] key=32 | partition=1 | offset=12 | meals=14 | calories=3086
[GROUP-2] key=35 | partition=1 | offset=13 | meals=6 | calories=2667
[GROUP-2] key=36 | partition=1 | offset=14 | meals=6 | calories=2060
[GROUP-2] key=37 | partition=1 | offset=15 | meals=9 | calories=1877
[GROUP-2] key=39 | partition=1 | offset=16 | meals=9 | calories=2020
[GROUP-2] key=43 | partition=1 | offset=17 | meals=0 | calories=2114
[GROUP-2] key=45 | partition=1 | offset=18 | meals=7 | calories=3253
[GROUP-2] key=52 | partition=1 | offset=19 | meals=8 | calories=2990
[GROUP-2] key=54 | partition=1 | offset=20 | meals=3 | calories=2751
[GROUP-2] key=56 | partition=1 | offset=21 | meals=0 | calories=2734
[GROUP-2] key=61 | partition=1 | offset=22 | meals=4 | calories=3207
[GROUP-2] key=62 | partition=1 | offset=23 | meals=8 | calories=1728
[GROUP-2] key=66 | partition=1 | offset=24 | meals=1 | calories=2048
[GROUP-2] key=67 | partition=1 | offset=25 | meals=1 | calories=2727
[GROUP-2] key=68 | partition=1 | offset=26 | meals=5 | calories=3106
[GROUP-2] key=69 | partition=1 | offset=27 | meals=14 | calories=2847
[GROUP-2] key=70 | partition=1 | offset=28 | meals=8 | calories=3455
[GROUP-2] key=71 | partition=1 | offset=29 | meals=0 | calories=2473
[GROUP-2] key=73 | partition=1 | offset=30 | meals=8 | calories=3114
[GROUP-2] key=84 | partition=1 | offset=31 | meals=5 | calories=2636
[GROUP-2] key=87 | partition=1 | offset=32 | meals=5 | calories=2531
[GROUP-2] key=88 | partition=1 | offset=33 | meals=2 | calories=2197
[GROUP-2] key=92 | partition=1 | offset=34 | meals=12 | calories=2165
[GROUP-2] key=93 | partition=1 | offset=35 | meals=8 | calories=2635
[GROUP-2] key=96 | partition=1 | offset=36 | meals=12 | calories=3256
[GROUP-2] key=107 | partition=1 | offset=37 | meals=11 | calories=2834
[GROUP-2] key=108 | partition=1 | offset=38 | meals=9 | calories=2724
[GROUP-2] key=109 | partition=1 | offset=39 | meals=6 | calories=2297
[GROUP-2] key=112 | partition=1 | offset=40 | meals=2 | calories=3004
[GROUP-2] key=115 | partition=1 | offset=41 | meals=8 | calories=2135
[GROUP-2] key=116 | partition=1 | offset=42 | meals=0 | calories=2613
[GROUP-2] key=117 | partition=1 | offset=43 | meals=0 | calories=1826
[GROUP-2] key=119 | partition=1 | offset=44 | meals=2 | calories=3428
